file_date,station,n_obs,n_files,range_mean_km,range_std_km,tof_mean_s,tof_std_s
2024-01-01,std,3014,7,5433.707934125178,9125.809961232866,0.0362497974123497,0.06088085085337844
2024-01-01,new,2129,11,3096.5984153518684,5289.620105080662,0.02065828097217755,0.03528854688586371
2024-01-01,0902,1501,1,3306.287222060749,4879.104853417971,0.022057174113838108,0.032549883916145536
2024-01-01,JFNL,618,3,3236.770605059888,5134.0671208581,0.021593409164815534,0.03425080907711228
2024-01-01,shao,437,7,5905.662083667755,8234.783219339268,0.03939833658969336,0.05493656027423655
2024-01-01,cfg1,201,3,1917.8094376809934,3851.7397106894045,0.012794247396850745,0.025696041430698067
2024-01-01,sys1,146,1,2306.3393806335316,1742.261222130802,0.015386240174417809,0.011623115763177755
2024-01-02,new,1828,10,2756.566778823148,4323.6917765642165,0.01838983406862856,0.028844566707306694
2024-01-02,0902,1501,1,3306.287222060749,4879.104853417971,0.022057174113838108,0.032549883916145536
2024-01-02,std,1203,8,4100.786193210327,7330.474757356077,0.027357500722785536,0.04890366359620744
2024-01-02,shao,245,1,6728.4457811654775,8411.27626387359,0.044887358581685716,0.056113995128413724
2024-01-02,JFNL,42,1,1557.7686149141134,237.85228548611724,0.010392313571238095,0.0015867796479797855
2024-01-02,cfg1,11,1,9649.496692468778,11268.532448406933,0.06437451266681818,0.07517555660727752
